inicio,fin,cantidad_viajes
709 West 6th Street,221 East 9th Street,6364
2505 Longview Street,221 East 9th Street,6147
221 East 9th Street,2505 Longview Street,5517
221 East 9th Street,3600 Presidential Boulevard,5335
221 East 9th Street,2605 Whitis Avenue,5283
221 East 9th Street,221 East 9th Street,4917
2605 Whitis Avenue,221 East 9th Street,4795
221 East 9th Street,709 West 6th Street,4657
Red River Street,221 East 9th Street,4616
709 West 6th Street,Red River Street,4551
Red River Street,709 West 6th Street,4226
709 West 6th Street,709 West 6th Street,4198
221 East 9th Street,Red River Street,3970
Red River Street,3600 Presidential Boulevard,3922
West Gibson Street,221 East 9th Street,3176
207 West 18th Street,221 East 9th Street,3122
709 West 6th Street,3600 Presidential Boulevard,3017
221 East 9th Street,207 West 18th Street,2990
3600 Presidential Boulevard,221 East 9th Street,2957
2505 Longview Street,207 West 18th Street,2817
Red River Street,Red River Street,2515
1402 Hillmont Street,221 East 9th Street,2501
221 East 9th Street,West Gibson Street,2463
3600 Presidential Boulevard,Red River Street,2408
2505 Longview Street,709 West 6th Street,2380
West Gibson Street,Red River Street,2380
400 1/2 South 1st Street,221 East 9th Street,2355
207 West 18th Street,2505 Longview Street,2305
2505 Longview Street,2605 Whitis Avenue,2235
709 West 6th Street,1402 Hillmont Street,2187
1402 Hillmont Street,709 West 6th Street,2185
709 West 6th Street,2505 Longview Street,2116
2605 Whitis Avenue,207 West 18th Street,2084
207 West 18th Street,2605 Whitis Avenue,2075
221 East 9th Street,1402 Hillmont Street,2023
1403 East 2nd Street,221 East 9th Street,2017
709 West 6th Street,2605 Whitis Avenue,1991
221 East 9th Street,400 1/2 South 1st Street,1985
Red River Street,West Gibson Street,1898
1155 Curve Street,221 East 9th Street,1881
West Gibson Street,709 West 6th Street,1873
2605 Whitis Avenue,709 West 6th Street,1839
207 West 18th Street,709 West 6th Street,1804
1402 Hillmont Street,Red River Street,1803
3600 Presidential Boulevard,709 West 6th Street,1794
709 West 6th Street,207 West 18th Street,1784
